t,row,variable,horizon,scalar_baseline,scalar_refit,omitted_baseline,omitted_refit
-0.07,14,inflation,13,-0.0085479763,-0.0085442164,0.00047628567,0.0004503734
-0.07,15,inflation,14,-0.007993395,-0.0079843638,0.00049268831,0.00046871422
-0.07,16,inflation,15,-0.0073281654,-0.0073161238,0.00049950771,0.00047710129
-0.07,17,inflation,16,-0.0065750039,-0.0065640012,0.00049769106,0.00047653582
-0.07,18,inflation,17,-0.0057554396,-0.0057510181,0.00048826633,0.00046814057
-0.07,19,inflation,18,-0.0048894397,-0.0048982417,0.00047229037,0.00045308424
-0.07,20,inflation,19,-0.0039951758,-0.004024509,0.00045081075,0.00043252613
-0.07,21,output,0,-0.011924095,-0.0117286,-0.002990562,-0.0038964194
-0.07,22,output,1,-0.021817975,-0.021767494,-0.0031494766,-0.0041507937
-0.07,23,output,2,-0.02884192,-0.028862274,-0.0021418896,-0.0029490504
-0.07,24,output,3,-0.033280443,-0.033311471,-0.00075944077,-0.001262878
-0.07,25,output,4,-0.035583364,-0.035648778,0.00035974867,6.792821e-05
-0.07,26,output,5,-0.036023415,-0.036143766,0.0011905305,0.0010462459
-0.07,27,output,6,-0.034889547,-0.03508096,0.0017223372,0.0016731886
-0.07,28,output,7,-0.032433024,-0.032674499,0.0019700106,0.0019658387
-0.07,29,output,8,-0.028854089,-0.029015043,0.0020028293,0.0020082679
-0.07,30,output,9,-0.024796581,-0.024856202,0.0019082912,0.0019096365
-0.07,31,output,10,-0.020660446,-0.020642354,0.0017430027,0.0017371654
-0.07,32,output,11,-0.016686373,-0.016625654,0.0015432786,0.0015317742
-0.07,33,output,12,-0.013011414,-0.012939534,0.001332094,0.0013179205
-0.07,34,output,13,-0.0097056109,-0.0096448299,0.0011236568,0.001109792
-0.07,35,output,14,-0.0067961447,-0.0067586897,0.00092642367,0.00091520373
-0.07,36,output,15,-0.0042832684,-0.004272644,0.00074509389,0.00073804726
-0.07,37,output,16,-0.0021508133,-0.0021638528,0.00058192958,0.00057982949
-0.07,38,output,17,-0.00037309978,-0.00040206099,0.00043763139,0.00044063559
-0.07,39,output,18,0.0010805392,0.001046142,0.00031191919,0.00031972991
-0.07,40,output,19,0.0022428202,0.0022147531,0.00020391676,0.00021592878
-0.06,1,inflation,0,-0.0008442299,-0.00086337492,-7.0900717e-05,-5.9812938e-05
-0.06,2,inflation,1,-0.0019102688,-0.0019253291,-0.00012318802,-0.00010754222
